,username,tweet,time
41,WashingtonDC S-Chain,"Want to work at Total Wine &amp; More? We're #hiring in #Bethesda, MD! Click for details: https://t.co/dgEPARrXpC… https://t.co/KjaYmYOm8u",2018-06-05 19:01:40
42,Kenneth Samson,"old_time_DC: ""When the NHL announced in 1972 that it was awarding an expansion franchise to Washington, Jay Cohen,… https://t.co/zRhJFWaOL7",2018-06-05 19:01:40
43,"MJ (aka, briefly, Lenny)",RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:01:40
44,Black Women Warned U,RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:01:39
45,Bianca S. Santos,RT @DrKatfish: #Knauss fellows do #CHOW2018! Happy to call these awesome people friends. https://t.co/7MJdAdgC6n,2018-06-05 19:01:38
46,Minh Lê,"@J_S_Dub @dsantat @Spanish_Broom @ericaperl Thanks, Julie! So glad you were there, friend! ❤️",2018-06-05 19:01:38
47,Alex Murphy,"RT @mdbaseballnet: The St. Louis Cardinals selected Maryland's junior second baseman, Nick Dunn, in the fifth round of the MLB Draft. More:…",2018-06-05 19:01:36
48,Morgan ♉️,@elianne_mmxii lmfaoooo https://t.co/dGXDQ34aWB,2018-06-05 19:01:35
49,Nick Zaiac,"""Suddenly"". I wanna talk about parking literally all the time. https://t.co/PFFkqHo6d8",2018-06-05 19:01:33
50,Go Jacksonville,"RT @educationweek: The number of police officers at schools began increasing after the 1999 mass shooting at Columbine High School, but lit…",2018-06-05 19:01:31
51,BallysWorld☝🏽,RT @Rosales_Eliseo: So a bitch found 40$ yesterday RT for goodluck https://t.co/697rwS0kgh,2018-06-05 19:01:30
52,OnDrayc💙🦕🔋🦖🍯🕋💞,Tha Big boss dogg show you how 2do dat 🤷🏽‍♂️❌⭕️🔋🦖💙🦕⚓️🍯🌟,2018-06-05 19:01:29
53,frannyhelen,"RT @owillis: sarah sanders, every day: im lying, you know im lying, tomorrow ill be lying again. also you and your profession are scum.

ma…",2018-06-05 19:01:28
54,GEICO Jobs,We're #hiring! Read about our latest #job opening here: State Filing Business Analyst - https://t.co/76zA101vEG… https://t.co/UwQfO0uMM2,2018-06-05 19:01:26
55,samsii🍭,RT @Rosales_Eliseo: So a bitch found 40$ yesterday RT for goodluck https://t.co/697rwS0kgh,2018-06-05 19:01:25
56,kae 🌻,"RT @IyanlaVanzant: Truth, order, love, faith and patience when used as the foundations of our actions, decisions, and interactions will put…",2018-06-05 19:01:24
57,Cook Ross Inc.,This #gay man with #cerebralpalsy feels accepted by the #disability community but struggles to be seen by his #LGBT… https://t.co/Dliyoot2d2,2018-06-05 19:01:21
58,$toned$toner,"You are the emotional deep diving champion of the zodiac, but ... More for Scorpio https://t.co/HSqrpRCqTJ",2018-06-05 19:01:18
59,Brent Schrader,@rcobb18 @HeatherGerum,2018-06-05 19:01:16
60,andnothingbuttheruth,"RT @owillis: sarah sanders, every day: im lying, you know im lying, tomorrow ill be lying again. also you and your profession are scum.

ma…",2018-06-05 19:01:15
61,Bonobo23,"RT @owillis: white reporters: but what's this nfl thing all about?!!
rest of us: seriously?",2018-06-05 19:01:15
62,NLM SIS,Spring lawn care? Learn about the chemicals at #NLM Household Products Database: https://t.co/7cWyAbrFC6 https://t.co/Vtf1Cr1FE8,2018-06-05 19:01:14
63,Nomdak’zana,RT @IyanlaVanzant: The only way to get to where you want to be is to do what needs to be done to get there.,2018-06-05 19:01:13
64,Avish,RT @NaiemReza: striving to become a better human,2018-06-05 19:01:13
65,Bonobo23,RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:01:13
66,Jose F Rodriguez,Photo Printing Gamut Torture Test!: https://t.co/GyzlePXWlf via @YouTube,2018-06-05 19:01:13
67,Siccolas Cage,"Your daily life is overflowing with a variety of activities, r... More for Capricorn https://t.co/Lg6XAzxawr",2018-06-05 19:01:12
68,Kevin Martir,"RT @TerpsBaseball: .@Nick_Dunn23 ➡️ STL

@Cardinals, all this dude does is rake

#ProTerps | #MLBDraft https://t.co/h3z2NMk6UK",2018-06-05 19:01:10
69,Billie,RT @IyanlaVanzant: The only way to get to where you want to be is to do what needs to be done to get there.,2018-06-05 19:01:10
70,Muriel McNair,"@SymoneDSanders I Love myself some April, continue to put it out there Lady!  Fierce...",2018-06-05 19:01:07
71,babygirl 🖤,RT @Rosales_Eliseo: So a bitch found 40$ yesterday RT for goodluck https://t.co/697rwS0kgh,2018-06-05 19:01:05
72,NEI,"Don’t forget to add our #LowVision symposium to your calendar for 6/29! The deadline to register is Friday, 6/15. L… https://t.co/zmimUkw3g4",2018-06-05 19:01:05
73,Alicia,@TMobile #TMobileTuesdays +😎 +#contest,2018-06-05 19:01:01
